,address,checkins,city,country,created,icon,latitude,longitude,pid,title,type,updated
4230,Неглинная 4,7,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.760064,37.621448,4230,Неглинка,3,1483738428.0
4231,Ломоносова 18,0,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.928902,30.334634,4231,Кофенюшка,3,1346909397.0
4232,Угловой пер. 3,7,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.909941,30.317099,4232,Северная Венеция,3,1481913062.0
4233,Правленская 11,0,242,1,1280742078,https://vk.com/images/places/restaraunt.png,59.882948,29.91062,4233,Морской,3,1344103873.0
4234, ,0,1,1,1280742078,https://vk.com/images/places/restaraunt.png,55.753559,37.609218,4234,Суши-Ы,3,
4235,Московский просп. 171а,7,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.862759,30.320171,4235,Северная столица,3,1477046672.0
4236,Зои Космодемьянской 7,11,123,1,1280742078,https://vk.com/images/places/restaraunt.png,53.260861,50.231918,4236,У Ханумы,3,1476632204.0
4237,просп. Тореза 21,4,2,1,1280742078,https://vk.com/images/places/restaraunt.png,60.002827,30.360595,4237,Морис,3,1416782385.0
4238,Ново-Садовая 106,10,123,1,1280742078,https://vk.com/images/places/restaraunt.png,53.21716,50.148756,4238,Il Patio,3,1419344055.0
4239,Б.Конюшенная 10,23,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.937394,30.323423,4239,Евразия,3,1414338893.0
4240,Гражданский просп. 41а,4,2,1,1280742078,https://vk.com/images/places/restaraunt.png,60.011522,30.397803,4240,Евразия,3,1450652262.0
4241,просп. Просвещения 46К1,37,2,1,1280742078,https://vk.com/images/places/restaraunt.png,60.05017,30.351217,4241,Васаби,3,1461539276.0
4242,Большой просп. П.С. 14,12,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.954446,30.2932,4242,Евразия,3,1483381036.0
4243,просп. Просвещения 19,8,2,1,1280742078,https://vk.com/images/places/restaraunt.png,60.052502,30.331499,4243,Евразия,3,1483457861.0
4244,Александра Блока 8,6,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.924014,30.27804,4244,Cum Grano Salis,3,1401475765.0
4245,Гастелло 17,4,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.857811,30.330227,4245,Ресторан гостиницы «Мир»,3,1439998779.0
4246,б-р Новаторов 11К2,5,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.850321,30.268439,4246,Елки-палки,3,1425833789.0
4247,Карельский просп. 20,4,112,1,1280742078,https://vk.com/images/places/restaraunt.png,61.758009,34.359814,4247,Пирамида,3,1483202610.0
4248,просп. Испытателей 30К2,8,2,1,1280742078,https://vk.com/images/places/restaraunt.png,60.005621,30.266465,4248,Trattoria Ponte Alla Cascata,3,1489261760.0
4249,Конногвардейский б-р 7,18,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.934186,30.299743,4249,Дворец князя Кочубея,3,1488988170.0
4250,Думская 5,0,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.933861,30.327618,4250,Сэйко,3,
4251,трасса Ростов-Баку ,14,119,1,1280742078,https://vk.com/images/places/restaraunt.png,47.227203,39.744889,4251,Казачий дозор,3,1484784073.0
4252,2-я Краснодарская 80К14,0,119,1,1280742078,https://vk.com/images/places/restaraunt.png,47.20579,39.630742,4252,Витязь,3,1354774152.0
4253,Зоологическая 3,2,119,1,1280742078,https://vk.com/images/places/restaraunt.png,47.248002,39.666908,4253,Аист,3,1352749310.0
4254,Куйбышева 95,0,49,1,1280742078,https://vk.com/images/places/restaraunt.png,56.829931,60.621846,4254,Уральская кухня,3,1446676789.0
4255,Рабочей Молодежи 45,0,49,1,1280742078,https://vk.com/images/places/restaraunt.png,56.846755,60.586878,4255,Триумф,3,
4256,Ефимова 3,0,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.925205,30.321108,4256,Крошка-Картошка,3,1336379186.0
4257,ул. 8 Марта 5,0,49,1,1280742078,https://vk.com/images/places/restaraunt.png,56.839577,60.598764,4257,Фортуна,3,1347166447.0
4258,Хохрякова ,0,49,1,1280742078,https://vk.com/images/places/restaraunt.png,56.830093,60.593612,4258,Эркас,3,
4259,Гатчинская 16,14,2,1,1280742078,https://vk.com/images/places/restaraunt.png,59.961719,30.29986,4259,Дивный сад,3,1489248124.0
